StockCode,week,units,revenue,avg_price,n_invoices
10002,30/11/2009,141,119.85,0.85,10
10002,07/12/2009,24,21.25,0.885416667,4
10002,14/12/2009,37,32.3,0.872972973,3
10002,21/12/2009,14,12.75,0.910714286,3
10002,04/01/2010,15,12.75,0.85,2
10002,11/01/2010,191,162.35,0.85,4
10002,18/01/2010,41,35.66,0.869756098,5
10002,25/01/2010,44,38.21,0.868409091,6
10002,01/02/2010,16,14.41,0.900625,3
10002,08/02/2010,43,36.55,0.85,3
10002,15/02/2010,37,32.26,0.871891892,4
10002,22/02/2010,161,136.85,0.85,5
10002,01/03/2010,456,338.84,0.743070175,6
10002,08/03/2010,28,27.04,0.965714286,3
10002,15/03/2010,25,21.25,0.85,2
10002,22/03/2010,85,72.25,0.85,4
10002,29/03/2010,84,65.16,0.775714286,4
10002,05/04/2010,747,540.05,0.722958501,7
10002,12/04/2010,47,39.95,0.85,4
10002,19/04/2010,267,200.95,0.752621723,4
10002,26/04/2010,35,32.18,0.919428571,7
10002,03/05/2010,162,134.58,0.830740741,8
10002,10/05/2010,1076,817,0.75929368,6
10002,17/05/2010,164,139.4,0.85,7
10002,24/05/2010,63,66.51,1.055714286,12
10002,31/05/2010,89,78.08,0.877303371,8
10002,07/06/2010,128,113.78,0.88890625,12
10002,14/06/2010,205,174.25,0.85,6
10002,21/06/2010,25,24.49,0.9796,7
10002,28/06/2010,36,30.6,0.85,7
10002,05/07/2010,129,116.94,0.906511628,6
10002,12/07/2010,33,28.05,0.85,4
10002,19/07/2010,271,204.35,0.754059041,7
10002,26/07/2010,69,58.65,0.85,6
10002,02/08/2010,236,175.41,0.743262712,6
10002,09/08/2010,65,56.87,0.874923077,8
10002,16/08/2010,2,3.32,1.66,2
10002,23/08/2010,272,205.2,0.754411765,5
10002,30/08/2010,1,0.85,0.85,1
10002,06/09/2010,44,37.4,0.85,5
10002,13/09/2010,33,28.86,0.874545455,4
10002,20/09/2010,128,116.9,0.91328125,7
10002,27/09/2010,449,330.46,0.735991091,6
10002,04/10/2010,48,40.8,0.85,3
10002,11/10/2010,487,371.67,0.763182752,10
10002,18/10/2010,47,39.95,0.85,5
10002,25/10/2010,52,44.2,0.85,3
10002,01/11/2010,170,144.5,0.85,10
10002,08/11/2010,4,3.4,0.85,1
10002,15/11/2010,718,542.85,0.756058496,14
10002,22/11/2010,51,46.59,0.913529412,10
10002,29/11/2010,91,83.02,0.912307692,9
10002,06/12/2010,90,86.22,0.958,12
10080,30/11/2009,4,3.4,0.85,2
10080,26/07/2010,1,0.85,0.85,1
10080,13/09/2010,6,5.1,0.85,1
10080,15/11/2010,1,0.85,0.85,1
10109,30/11/2009,4,1.68,0.42,1
10120,30/11/2009,100,21,0.21,3
10120,07/12/2009,8,2.56,0.32,4
10120,14/12/2009,6,2.14,0.356666667,4
10120,21/12/2009,1,0.43,0.43,1
10120,04/01/2010,31,6.51,0.21,2
10120,11/01/2010,1,0.43,0.43,1
10120,08/02/2010,4,1.72,0.43,1
10120,15/02/2010,1,0.43,0.43,1
10120,01/03/2010,62,13.02,0.21,3
10120,08/03/2010,6,1.26,0.21,1
10120,29/03/2010,30,6.3,0.21,1
10120,26/04/2010,30,6.3,0.21,1
10120,17/05/2010,4,0.84,0.21,1
10120,07/06/2010,30,6.3,0.21,1
10120,05/07/2010,3,0.63,0.21,1
10120,13/09/2010,9,1.89,0.21,2
10120,04/10/2010,30,6.3,0.21,1
10120,11/10/2010,30,6.3,0.21,1
10120,25/10/2010,11,2.31,0.21,2
10120,01/11/2010,18,3.78,0.21,3
10120,15/11/2010,2,0.42,0.21,1
10120,22/11/2010,45,9.45,0.21,7
10120,29/11/2010,13,2.73,0.21,3
10120,06/12/2010,12,2.52,0.21,1
10125,30/11/2009,59,51,0.86440678,8
10125,07/12/2009,44,37.4,0.85,4
10125,14/12/2009,25,23.8,0.952,3
10125,11/01/2010,2,3.32,1.66,1
10125,18/01/2010,1,1.66,1.66,1
10125,01/02/2010,2,1.7,0.85,1
10125,08/02/2010,2,3.32,1.66,2
10125,15/02/2010,41,35.66,0.869756098,3
10125,01/03/2010,40,34,0.85,2
10125,08/03/2010,20,17,0.85,1
10125,15/03/2010,2,3.32,1.66,1
10125,22/03/2010,6,5.1,0.85,1
10125,29/03/2010,42,53.52,1.274285714,2
10125,05/04/2010,20,17,0.85,1
10125,10/05/2010,20,17,0.85,1
10125,07/06/2010,21,17.85,0.85,2
10125,14/06/2010,22,19.51,0.886818182,3
10125,21/06/2010,21,17.85,0.85,2
10125,28/06/2010,20,17,0.85,1
10125,05/07/2010,2,1.7,0.85,1
10125,12/07/2010,3,2.55,0.85,1
10125,19/07/2010,60,51,0.85,2
10125,26/07/2010,20,17,0.85,1
10125,30/08/2010,20,17,0.85,1
10125,06/09/2010,4,3.4,0.85,1
10125,13/09/2010,21,17.85,0.85,2
10125,20/09/2010,20,17,0.85,1
10125,04/10/2010,20,17,0.85,1
10125,11/10/2010,28,25.42,0.907857143,5
10125,18/10/2010,42,35.7,0.85,3
10125,25/10/2010,31,26.35,0.85,5
10125,01/11/2010,42,35.7,0.85,3
10125,08/11/2010,21,18.66,0.888571429,2
10125,15/11/2010,44,39.83,0.905227273,5
10125,22/11/2010,22,20.32,0.923636364,2
10125,29/11/2010,2,1.7,0.85,1
10125,06/12/2010,43,38.17,0.887674419,4
10133,30/11/2009,85,73.1,0.86,8
10133,07/12/2009,48,40.8,0.85,5
10133,14/12/2009,21,17.85,0.85,3
10133,04/01/2010,150,108,0.72,1
10133,18/01/2010,2,2.51,1.255,2
10133,25/01/2010,10,8.5,0.85,1
10133,15/02/2010,52,49.06,0.943461538,5
10133,22/02/2010,50,42.5,0.85,2
10133,01/03/2010,6,5.1,0.85,2
10133,08/03/2010,16,18.46,1.15375,3
10133,15/03/2010,10,8.5,0.85,1
10133,22/03/2010,6,5.1,0.85,2
10133,29/03/2010,3,2.55,0.85,1
10133,05/04/2010,20,17,0.85,2
10133,12/04/2010,1,0.85,0.85,1
